Title,Type,Episodes,Status,Start airing,End airing,Starting season,Studios,Sources,Genres,Rating,Score,Scored by,Members,Favorites
Wolf's Rain OVA,OVA,4,Finished Airing,1/23/2004,2/25/2004,-,Bones,Original,"Sci-Fi,Adventure,Psychological,Supernatural,Drama",PG-13,8.1,24119,43722,287
Aria The Avvenire,Special,3,Finished Airing,9/26/2015,-,-,TYO Animations,Manga,"Fantasy,Sci-Fi,Shounen,Slice of Life",G,8.09,4823,13668,74
Aria The OVA: Arietta,OVA,1,Finished Airing,9/21/2007,-,-,Hal Film Maker,Manga,"Fantasy,Sci-Fi,Shounen,Slice of Life",G,8.09,10972,24287,63
Fairy Tail,TV,175,Finished Airing,10/12/2009,3/30/2013,Fall,"Satelight,A-1 Pictures",Manga,"Action,Adventure,Comedy,Magic,Fantasy,Shounen",PG-13,8.09,417645,806105,37460
Final Fantasy VII: Advent Children Complete,OVA,1,Finished Airing,4/16/2009,-,-,Square Enix,Game,"Action,Fantasy,Super Power",PG-13,8.09,58823,92132,695
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,Special,1,Finished Airing,1/27/2006,-,-,Production I.G,Light novel,"Action,Mecha,Sci-Fi",R,8.09,7838,20450,38
Kekkai Sensen & Beyond,TV,12,Finished Airing,10/8/2017,12/24/2017,Fall,Bones,Manga,"Action,Comedy,Fantasy,Shounen,Super Power,Supernatural,Vampire",R,8.09,52697,144459,649
Log Horizon,TV,25,Finished Airing,10/5/2013,3/22/2014,Fall,Satelight,Novel,"Action,Game,Adventure,Magic,Fantasy",PG-13,8.09,290562,548433,7428
Noragami Aragoto OVA,OVA,2,Finished Airing,11/17/2015,3/17/2016,-,Bones,Manga,"Action,Adventure,Comedy,Supernatural,Shounen",PG-13,8.09,51937,101153,241
Takarajima,TV,26,Finished Airing,10/8/1978,4/1/1979,Fall,"Madhouse,TMS Entertainment",Novel,"Adventure,Mystery,Historical,Drama",PG-13,8.09,3130,8228,112
Ginga Sengoku Gunyuuden Rai,TV,52,Finished Airing,4/8/1994,3/31/1995,Spring,E&G Films,Manga,"Sci-Fi,Adventure,Space,Romance,Shounen",PG-13,8.08,2711,7262,51
Hanamonogatari,TV,5,Finished Airing,8/16/2014,-,Summer,Shaft,Light novel,"Comedy,Mystery,Supernatural",R,8.08,102863,187777,750
Omae Umasou da na,Movie,1,Finished Airing,10/16/2010,-,-,Ajia-Do,Picture book,"Action,Adventure,Fantasy,Kids",G,8.08,3514,8622,80
Quanzhi Gaoshou,ONA,12,Finished Airing,4/7/2017,6/16/2017,-,G.CMay Animation & Film,Novel,"Action,Game",PG-13,8.08,62457,140658,1723
Tokyo Ghoul:re,TV,12,Currently Airing,4/3/2018,-,Spring,Studio Pierrot,Manga,"Action,Drama,Horror,Mystery,Psychological,Seinen,Supernatural",R,8.08,22436,187067,1351
xxxHOLiC,TV,24,Finished Airing,4/7/2006,9/29/2006,Spring,Production I.G,Manga,"Mystery,Comedy,Psychological,Supernatural,Drama",PG-13,8.08,76663,183244,3329
Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,OVA,28,Finished Airing,12/24/1999,6/27/2001,-,J.C.Staff,Novel,"Drama,Military,Sci-Fi,Space",R,8.07,3676,10158,15
Hyouge Mono,TV,39,Finished Airing,4/7/2011,1/26/2012,Spring,Bee Train,Manga,"Historical,Samurai,Seinen",R,8.07,1879,14731,164
Igano Kabamaru,TV,24,Finished Airing,10/20/1983,3/29/1984,Fall,Group TAC,Manga,"Action,Adventure,Comedy,Romance,School,Shounen",PG-13,8.07,2631,6344,102
Kami nomi zo Shiru Sekai II,TV,12,Finished Airing,4/12/2011,6/28/2011,Spring,Manglobe,Manga,"Comedy,Harem,Romance,Shounen,Supernatural",PG-13,8.07,153618,241048,870
Kimi to Boku. 2,TV,13,Finished Airing,4/3/2012,6/26/2012,Spring,J.C.Staff,Manga,"Comedy,Drama,Romance,School,Shounen,Slice of Life",PG-13,8.07,27441,54410,306
Mahou Shoujo Lyrical Nanoha A's,TV,13,Finished Airing,10/2/2005,12/25/2005,Fall,Seven Arcs,Original,"Action,Comedy,Drama,Magic,Super Power",PG-13,8.07,25666,47558,949
Ore Monogatari!!,TV,24,Finished Airing,4/9/2015,9/24/2015,Spring,Madhouse,Manga,"Comedy,Romance,Shoujo",PG-13,8.07,136101,291364,2789
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,OVA,2,Finished Airing,12/3/2001,-,-,Studio Deen,Manga,"Romance,Samurai,Historical,Drama,Shounen",R,8.07,33525,56812,347
Sekaiichi Hatsukoi,TV,12,Finished Airing,4/9/2011,6/25/2011,Spring,Studio Deen,Manga,"Comedy,Drama,Romance,Shounen Ai",PG-13,8.07,68682,120542,2892
Tekkon Kinkreet,Movie,1,Finished Airing,12/23/2006,-,-,Studio 4°C,Manga,"Action,Adventure,Psychological,Supernatural",R,8.07,26780,59830,947
ef: A Tale of Memories.,TV,12,Finished Airing,10/7/2007,12/23/2007,Fall,Shaft,Visual novel,"Mystery,Drama,Romance",PG-13,8.06,81607,179263,2687
FLCL,OVA,6,Finished Airing,4/26/2000,3/16/2001,-,"Gainax,Production I.G",Original,"Action,Sci-Fi,Comedy,Parody,Dementia,Psychological,Mecha",PG-13,8.06,228767,400400,15747
Hikaru no Go: Journey to the North Star Cup,Special,1,Finished Airing,1/3/2004,-,-,Studio Pierrot,Manga,"Game,Shounen",G,8.06,9231,16362,30
Karigurashi no Arrietty,Movie,1,Finished Airing,7/17/2010,-,-,Studio Ghibli,Novel,Fantasy,G,8.06,84145,134478,392
Kobato.,TV,24,Finished Airing,10/6/2009,3/23/2010,Fall,Madhouse,Manga,"Comedy,Drama,Romance,Fantasy",PG-13,8.06,39700,105665,1271
Ookiku Furikabutte,TV,25,Finished Airing,4/13/2007,9/28/2007,Spring,A-1 Pictures,Manga,"Comedy,Sports",PG-13,8.06,25213,60097,1468
Overlord,TV,13,Finished Airing,7/7/2015,9/29/2015,Summer,Madhouse,Light novel,"Action,Game,Adventure,Supernatural,Magic,Fantasy",R,8.06,265500,461796,7196
SKET Dance OVA,OVA,1,Finished Airing,2/4/2013,-,-,Tatsunoko Production,Manga,"Comedy,School,Shounen",PG-13,8.06,7688,14370,14
Tennis no Ouji-sama: Zenkoku Taikai-hen,OVA,13,Finished Airing,3/24/2006,3/23/2007,-,M.S.C,-,"Action,Comedy,Sports,Shounen",PG-13,8.06,17474,30037,89
Tiger & Bunny,TV,25,Finished Airing,4/3/2011,9/18/2011,Spring,Sunrise,Light novel,"Action,Mystery,Comedy,Super Power",PG-13,8.06,54428,136420,2431
Ushio to Tora (TV) 2nd Season,TV,13,Finished Airing,4/1/2016,6/24/2016,Spring,MAPPA,Manga,"Action,Adventure,Comedy,Demons,Supernatural,Shounen",PG-13,8.06,32574,66409,241
Darker than Black: Kuro no Keiyakusha Gaiden,Special,4,Finished Airing,1/27/2010,7/21/2010,-,Bones,Original,"Action,Sci-Fi,Mystery,Super Power",R,8.05,98392,167915,781
Darling in the FranXX,TV,24,Currently Airing,1/13/2018,-,Winter,"A-1 Pictures,Trigger,CLOVERWORKS",Original,"Sci-Fi,Drama,Mecha",PG-13,8.05,59735,233527,3264
Detective Conan OVA 09: The Stranger in 10 Years...,OVA,1,Finished Airing,6/17/2009,-,-,TMS Entertainment,Manga,"Adventure,Comedy,Mystery,Police,Shounen",PG-13,8.05,6663,12336,13
Drifters,TV,12,Finished Airing,10/7/2016,12/23/2016,Fall,Hoods Drifters Studio,Manga,"Action,Adventure,Comedy,Historical,Samurai,Fantasy,Seinen",R,8.05,114672,236940,1776
Eyeshield 21,TV,145,Finished Airing,4/6/2005,3/19/2008,Spring,Studio Gallop,Manga,"Action,Sports,Comedy,Shounen",PG-13,8.05,48407,105607,1638
Fate/kaleid liner Prisma†Illya Movie: Sekka no Chikai,Movie,1,Finished Airing,8/26/2017,-,-,Silver Link.,Manga,"Action,Comedy,Fantasy,Magic",PG-13,8.05,8290,28627,104
Full Moon wo Sagashite,TV,52,Finished Airing,4/6/2002,3/29/2003,Spring,Studio Deen,Manga,"Music,Comedy,Supernatural,Drama,Romance,Shoujo",PG-13,8.05,31027,70435,1553
High Speed!: Free! Starting Days,Movie,1,Finished Airing,12/5/2015,-,-,Kyoto Animation,Light novel,"School,Slice of Life,Sports",PG-13,8.05,14013,37789,156
Junjou Romantica OVA,OVA,2,Finished Airing,12/20/2012,12/1/2015,-,Studio Deen,Manga,"Comedy,Drama,Romance,Shounen Ai",PG-13,8.05,14913,30339,91
Kamisama Hajimemashita OVA,OVA,2,Finished Airing,8/20/2013,-,-,TMS Entertainment,Manga,"Comedy,Demons,Supernatural,Romance,Fantasy,Shoujo",PG-13,8.05,28945,54727,216
Kuuchuu Buranko,TV,11,Finished Airing,10/15/2009,12/24/2009,Fall,Toei Animation,Novel,"Comedy,Psychological,Drama,Seinen",R,8.05,15209,53431,891
Macross,TV,36,Finished Airing,10/3/1982,6/26/1983,Fall,"Artland,Tatsunoko Production",Original,"Action,Mecha,Military,Music,Romance,Sci-Fi,Space",PG-13,8.05,21439,57759,1235
Macross: Do You Remember Love?,Movie,1,Finished Airing,7/7/1984,-,-,"Artland,Tatsunoko Production",Original,"Action,Space,Mecha,Romance,Military,Music,Sci-Fi",R,8.05,12992,25119,425
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,Special,1,Finished Airing,8/30/2014,-,-,Toei Animation,Manga,"Adventure,Comedy,Fantasy,Shounen",PG-13,8.05,26628,42130,95
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,Special,1,Finished Airing,8/26/2017,-,-,Toei Animation,Manga,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen",PG-13,8.05,3631,7359,9
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,OVA,6,Finished Airing,6/22/2007,1/25/2008,-,M.S.C,Original,"Action,Comedy,Sports",PG-13,8.05,14539,25191,56
Trigun: Badlands Rumble,Movie,1,Finished Airing,4/2/2010,-,-,Madhouse,Manga,"Action,Sci-Fi,Adventure,Comedy,Drama,Shounen",PG-13,8.05,46598,83342,195
Usagi Drop Specials,Special,4,Finished Airing,10/28/2011,1/27/2012,-,Production I.G,Manga,"Josei,Slice of Life",PG-13,8.05,27009,45205,27
Aoki Hagane no Arpeggio: Ars Nova Cadenza,Movie,1,Finished Airing,10/3/2015,-,-,SANZIGEN,Manga,"Action,Sci-Fi,Seinen",PG-13,8.04,7050,18626,101
Azumanga Daioh,TV,26,Finished Airing,4/9/2002,10/1/2002,Spring,J.C.Staff,4-koma manga,"Slice of Life,Comedy,School",PG-13,8.04,96783,201812,4347
Haibane Renmei,TV,13,Finished Airing,10/10/2002,12/19/2002,Fall,Radix,Other,"Slice of Life,Mystery,Psychological,Drama,Fantasy",PG-13,8.04,60006,150394,4432
Ie Naki Ko Remy,TV,23,Finished Airing,9/1/1996,3/23/1997,Fall,Nippon Animation,Novel,"Adventure,Slice of Life,Historical,Drama",G,8.04,4346,9384,47
Jigoku Shoujo Futakomori,TV,26,Finished Airing,10/7/2006,4/7/2007,Fall,Studio Deen,Original,"Mystery,Horror,Psychological,Supernatural",R,8.04,44725,100179,635
Saiunkoku Monogatari,TV,39,Finished Airing,4/8/2006,2/24/2007,Spring,Madhouse,Light novel,"Adventure,Fantasy,Comedy,Romance,Historical,Drama",PG-13,8.04,23327,61299,1054
Tanoshii Muumin Ikka,TV,78,Finished Airing,4/12/1990,10/3/1991,Spring,Telescreen BV,Book,"Adventure,Comedy,Fantasy,Kids,Slice of Life",G,8.04,5085,10160,241
Tentai Senshi Sunred 2nd Season,TV,26,Finished Airing,10/3/2009,3/27/2010,Fall,AIC A.S.T.A.,Manga,"Comedy,Parody,Seinen,Super Power",PG-13,8.04,2497,5478,25
There She Is!!,ONA,5,Finished Airing,4/20/2003,12/9/2008,-,-,Original,"Comedy,Romance",G,8.04,9811,16845,113
Yumeiro Patissiere,TV,50,Finished Airing,10/4/2009,9/26/2010,Fall,"Studio Pierrot,Studio Hibari",Manga,"Kids,School,Shoujo",G,8.04,21420,45174,815
Full Metal Panic! The Second Raid,TV,13,Finished Airing,7/14/2005,10/20/2005,Summer,Kyoto Animation,Light novel,"Action,Military,Mecha",R,8.03,108262,181984,1234
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie,1,Finished Airing,2/6/1988,-,-,"Artland,Madhouse",Novel,"Action,Military,Sci-Fi,Space",PG-13,8.03,11672,19926,33
Haikyuu!! Movie 1: Owari to Hajimari,Movie,1,Finished Airing,7/3/2015,-,-,Production I.G,Manga,"Comedy,Sports,Drama,School,Shounen",PG-13,8.03,4957,22416,44
Kaleido Star,TV,51,Finished Airing,4/3/2003,3/27/2004,Spring,"Gonzo,Production I.G",Original,"Comedy,Sports,Drama,Fantasy,Shoujo",PG-13,8.03,22646,51317,1146
Kurenai no Buta,Movie,1,Finished Airing,7/18/1992,-,-,Studio Ghibli,Manga,"Action,Adventure,Comedy,Drama,Historical,Military,Romance",G,8.03,61307,98088,718
Macross F Movie 2: Sayonara no Tsubasa,Movie,1,Finished Airing,2/26/2011,-,-,"Satelight,8bit",Light novel,"Action,Mecha,Military,Music,Romance,Sci-Fi,Space",PG-13,8.03,10084,20047,92
Mawaru Penguindrum,TV,24,Finished Airing,7/8/2011,12/23/2011,Summer,Brain's Base,Light novel,"Mystery,Comedy,Dementia,Psychological,Drama",R,8.03,72165,189759,5494
Planetarian: Hoshi no Hito,Movie,1,Finished Airing,9/3/2016,-,-,David Production,Visual novel,"Sci-Fi,Drama",PG-13,8.03,4877,19722,93
Soul Eater,TV,51,Finished Airing,4/7/2008,3/30/2009,Spring,Bones,Manga,"Action,Fantasy,Comedy,Supernatural,Shounen",PG-13,8.03,417573,780484,17832
Tanaka-kun wa Itsumo Kedaruge,TV,12,Finished Airing,4/9/2016,6/25/2016,Spring,Silver Link.,Web manga,"Slice of Life,Comedy,School",PG-13,8.03,75421,166411,1848
Terra e... (TV),TV,24,Finished Airing,4/7/2007,9/22/2007,Spring,"Tokyo Kids,Minami Machi Bugyousho",Manga,"Action,Drama,Military,Sci-Fi,Space",PG-13,8.03,13820,43068,824
Beelzebub,TV,60,Finished Airing,1/9/2011,3/25/2012,Winter,Pierrot Plus,Manga,"Action,Comedy,Demons,Supernatural,School,Shounen",PG-13,8.02,134517,297955,3746
Hibike! Euphonium,TV,13,Finished Airing,4/8/2015,7/1/2015,Spring,Kyoto Animation,Novel,"Music,School,Drama",PG-13,8.02,92899,200810,3291
Hybrid Child,OVA,4,Finished Airing,10/29/2014,1/28/2015,-,Studio Deen,Manga,"Drama,Historical,Romance,Sci-Fi,Shounen Ai",PG-13,8.02,18710,38261,383
Kuroko no Basket: Tip Off,Special,1,Finished Airing,2/22/2013,-,-,Production I.G,Manga,"Sports,Comedy,School,Shounen",PG-13,8.02,30863,53386,74
Lupin III vs. Detective Conan: The Movie,Movie,1,Finished Airing,12/7/2013,-,-,TMS Entertainment,Manga,"Action,Comedy,Mystery,Shounen",G,8.02,7430,14160,32
Saiyuuki Reload: Burial,OVA,3,Finished Airing,4/28/2007,3/28/2008,-,Studio Pierrot,Manga,"Action,Adventure,Drama,Fantasy,Shoujo",PG-13,8.02,3073,8858,48
School Rumble,TV,26,Finished Airing,10/5/2004,3/29/2005,Fall,Studio Comet,Manga,"Comedy,Romance,School,Shounen",PG-13,8.02,100997,212896,4498
xxxHOLiC Movie: Manatsu no Yoru no Yume,Movie,1,Finished Airing,8/20/2005,-,-,Production I.G,Manga,"Mystery,Comedy,Psychological,Supernatural,Drama",PG-13,8.02,25673,46615,92
Yakitate!! Japan,TV,69,Finished Airing,10/12/2004,3/14/2006,Fall,Sunrise,Manga,"Comedy,Shounen",PG-13,8.02,26367,61815,746
Yuru Yuri San†Hai!,TV,12,Finished Airing,10/6/2015,12/22/2015,Fall,TYO Animations,Manga,"Comedy,School,Shoujo Ai,Slice of Life",PG-13,8.02,34738,64998,479
Date A Live: Encore,OVA,1,Finished Airing,12/8/2014,-,-,Production IMS,Light novel,"Slice of Life,Romance",PG-13,8.01,43492,72712,657
Death Billiards,Movie,1,Finished Airing,3/2/2013,-,-,Madhouse,Light novel,"Game,Mystery,Psychological,Drama,Thriller",R,8.01,80283,130514,228
Flanders no Inu (Movie),Movie,1,Finished Airing,3/15/1997,-,-,Nippon Animation,Novel,"Drama,Historical",G,8.01,3097,11586,46
Hanasaku Iroha,TV,26,Finished Airing,4/3/2011,9/25/2011,Spring,P.A. Works,Original,"Slice of Life,Comedy,Drama",PG-13,8.01,81332,193097,1962
Mobile Suit Zeta Gundam,TV,50,Finished Airing,3/2/1985,2/22/1986,Spring,Sunrise,Original,"Military,Sci-Fi,Space,Drama,Romance,Mecha",PG-13,8.01,18352,36810,1184
Non Non Biyori,TV,12,Finished Airing,10/8/2013,12/24/2013,Fall,Silver Link.,Manga,"Comedy,School,Seinen,Slice of Life",PG-13,8.01,82059,187973,3234
Overlord II,TV,13,Finished Airing,1/9/2018,4/3/2018,Winter,Madhouse,Light novel,"Action,Adventure,Fantasy,Game,Magic,Supernatural",R,8.01,80908,213503,1456
Shirokuma Cafe,TV,50,Finished Airing,4/5/2012,3/28/2013,Spring,Studio Pierrot,Manga,"Slice of Life,Comedy,Josei",G,8.01,10175,56291,717
Tennis no Ouji-sama,TV,178,Finished Airing,10/10/2001,3/23/2005,Fall,Trans Arts,Manga,"Action,Comedy,Sports,School,Shounen",PG-13,8.01,47840,106629,2826
Colorful (Movie),Movie,1,Finished Airing,8/21/2010,-,-,"Sunrise,Ascension",Novel,"Slice of Life,Supernatural,Drama",PG-13,8,40363,88444,661
Detective Conan Movie 02: The Fourteenth Target,Movie,1,Finished Airing,4/18/1998,-,-,TMS Entertainment,Manga,"Adventure,Mystery,Comedy,Police,Shounen",PG-13,8,21040,33558,47
Durarara!! Specials,Special,2,Finished Airing,8/25/2010,2/23/2011,-,Brain's Base,Light novel,"Action,Comedy,Supernatural",R,8,69799,119740,184
Eikoku Koi Monogatari Emma: Molders-hen,TV,12,Finished Airing,4/17/2007,7/3/2007,Spring,Ajia-Do,Manga,"Slice of Life,Romance,Historical,Drama,Seinen",G,8,7133,14835,70
Kara no Kyoukai 4: Garan no Dou,Movie,1,Finished Airing,5/24/2008,-,-,ufotable,Light novel,"Action,Mystery,Supernatural,Thriller",R,8,78130,126976,222
Kuroshitsuji,TV,24,Finished Airing,10/3/2008,3/27/2009,Fall,A-1 Pictures,Manga,"Action,Comedy,Demons,Fantasy,Historical,Shounen,Supernatural",R,8,294015,557109,19502
Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna,Special,1,Finished Airing,3/14/2015,-,-,Kyoto Animation,Light novel,Music,PG-13,8,8935,20913,51
Mobile Suit Gundam: Iron-Blooded Orphans,TV,25,Finished Airing,10/4/2015,3/27/2016,Fall,Sunrise,Original,"Action,Drama,Mecha,Sci-Fi,Space",R,8,47298,98483,1134
Plastic Memories,TV,13,Finished Airing,4/5/2015,6/28/2015,Spring,Doga Kobo,Original,"Sci-Fi,Drama,Romance",PG-13,8,169596,339988,5135
Sakigake!! Cromartie Koukou,TV,26,Finished Airing,10/3/2003,3/26/2004,Fall,Production I.G,Manga,"Comedy,School,Shounen",PG-13,8,34161,84205,1273
Tokyo Ghoul,TV,12,Finished Airing,7/4/2014,9/19/2014,Summer,Studio Pierrot,Manga,"Action,Mystery,Horror,Psychological,Supernatural,Drama,Seinen",R,8,645170,990068,28281
Akachan to Boku,TV,35,Finished Airing,7/11/1996,3/26/1997,Summer,Studio Pierrot,Manga,"Comedy,Drama,Shoujo",G,7.99,4289,11095,80
Bishoujo Senshi Sailor Moon: Sailor Stars,TV,34,Finished Airing,3/9/1996,2/8/1997,Spring,Toei Animation,Manga,"Adventure,Comedy,Drama,Fantasy,Magic,Romance,Shoujo",PG-13,7.99,33305,62489,855
City Hunter,TV,51,Finished Airing,4/6/1987,3/28/1988,Spring,Sunrise,Manga,"Action,Comedy,Mystery,Shounen",PG-13,7.99,9774,27511,438
Coquelicot-zaka kara,Movie,1,Finished Airing,7/16/2011,-,-,Studio Ghibli,Manga,"Historical,Romance,School,Shoujo",G,7.99,38477,69337,351
Ergo Proxy,TV,23,Finished Airing,2/25/2006,8/12/2006,Winter,Manglobe,Original,"Sci-Fi,Mystery,Psychological",R,7.99,135663,339272,8616
Haikyuu!! Movie 2: Shousha to Haisha,Movie,1,Finished Airing,9/18/2015,-,-,Production I.G,Manga,"Comedy,Sports,Drama,School,Shounen",PG-13,7.99,3923,18899,24
Haikyuu!! Movie 3: Sainou to Sense,Movie,1,Finished Airing,9/15/2017,-,-,Production I.G,Manga,"Comedy,Drama,School,Shounen,Sports",PG-13,7.98,964,10130,15
Junjou Romantica,TV,12,Finished Airing,4/11/2008,6/27/2008,Spring,Studio Deen,Manga,"Comedy,Drama,Romance,Shounen Ai",PG-13,7.99,85747,145138,4688
Love Live! School Idol Project 2nd Season,TV,13,Finished Airing,4/6/2014,6/29/2014,Spring,Sunrise,Other,"Music,School,Slice of Life",PG-13,7.99,78499,136520,2462
Magi: Sinbad no Bouken,OVA,5,Finished Airing,5/14/2014,7/15/2015,-,Lay-duce,Manga,"Action,Adventure,Fantasy,Magic,Shounen",PG-13,7.99,31719,69183,170
Sayonara Zetsubou Sensei,TV,12,Finished Airing,7/8/2007,9/23/2007,Summer,Shaft,Manga,"Comedy,Parody,School",R,7.99,87256,211821,3922
Serial Experiments Lain,TV,13,Finished Airing,7/6/1998,9/28/1998,Summer,Triangle Staff,Original,"Dementia,Drama,Mystery,Psychological,Sci-Fi,Supernatural",R,7.99,117093,287433,9926
Seto no Hanayome OVA,OVA,2,Finished Airing,11/3/2008,1/5/2009,-,Gonzo,Manga,"Comedy,Parody,Romance,School",PG-13,7.99,21210,37041,32
Suzumiya Haruhi no Yuuutsu,TV,14,Finished Airing,4/3/2006,7/3/2006,Spring,Kyoto Animation,Light novel,"Comedy,Mystery,Parody,School,Sci-Fi,Slice of Life",PG-13,7.99,302212,536260,13925
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV,26,Finished Airing,10/5/2005,3/29/2006,Fall,Madhouse,Manga,"Game,Psychological,Thriller,Seinen",R,7.99,26763,60432,821
Zoku Sayonara Zetsubou Sensei,TV,13,Finished Airing,1/6/2008,3/30/2008,Winter,Shaft,Manga,"Comedy,Parody,School",R,7.99,41848,86705,377
Detective Conan Movie 08: Time Travel of the Silver Sky,Special,1,Finished Airing,4/30/2004,-,-,TMS Entertainment,Other,"Adventure,Mystery",PG-13,7.98,4566,9654,4
Digimon Adventure tri. 3: Kokuhaku,Movie,1,Finished Airing,9/24/2016,-,-,Toei Animation,Original,"Action,Adventure,Comedy,Drama",PG-13,7.98,19394,38530,119
Hataraku Maou-sama!,TV,13,Finished Airing,4/4/2013,6/27/2013,Spring,White Fox,Light novel,"Comedy,Demons,Supernatural,Romance,Fantasy",PG-13,7.98,383176,620113,6864
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,OVA,1,Finished Airing,12/11/2005,-,-,Gonzo,Original,"Comedy,Drama,Shoujo",PG,7.98,5393,10411,32
Macross F,TV,25,Finished Airing,4/4/2008,9/26/2008,Spring,Satelight,Original,"Action,Mecha,Military,Music,Romance,Sci-Fi,Space",PG-13,7.98,51463,108459,1740
Magic Kaito,Special,12,Finished Airing,4/17/2010,12/29/2012,-,TMS Entertainment,Manga,"Adventure,Comedy,Romance,Shounen",PG-13,7.98,15049,37206,237
Saiyuuki Gaiden,OVA,3,Finished Airing,3/25/2011,11/25/2011,-,-,Manga,"Action,Adventure,Drama,Fantasy",PG-13,7.98,2841,8449,60
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,Finished Airing,2/24/2018,-,-,P.A. Works,Original,"Drama,Fantasy",PG-13,7.98,144,24358,48
Carnival Phantasm,OVA,12,Finished Airing,8/14/2011,12/31/2011,-,Lerche,Manga,"Comedy,Parody,Supernatural",PG-13,7.97,46980,97642,927
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Special,1,Finished Airing,7/1/2009,-,-,Kyoto Animation,Visual novel,"Drama,Romance,School",PG-13,7.97,109664,164994,516
Detective Conan Movie 01: The Timed Skyscraper,Movie,1,Finished Airing,4/19/1997,-,-,TMS Entertainment,Manga,"Adventure,Mystery,Comedy,Police,Shounen",PG-13,7.97,23651,36932,44
Hokuto no Ken,TV,109,Finished Airing,10/4/1984,3/5/1987,Fall,Toei Animation,Manga,"Action,Sci-Fi,Drama,Martial Arts,Shounen",R,7.97,18103,60379,1437
Initial D Third Stage,Movie,1,Finished Airing,1/13/2001,-,-,Studio Deen,Manga,"Action,Cars,Sports,Drama,Romance,Seinen",PG-13,7.97,38935,60751,221
Les Miserables: Shoujo Cosette,TV,52,Finished Airing,1/7/2007,12/30/2007,Winter,Nippon Animation,Novel,"Slice of Life,Historical,Drama,Shoujo",G,7.97,3353,13062,118
Mobile Suit Gundam Thunderbolt,ONA,4,Finished Airing,12/25/2015,4/22/2016,-,Sunrise,Manga,"Action,Military,Sci-Fi,Space,Drama,Mecha",R,7.97,12624,25190,192
Zan Sayonara Zetsubou Sensei,TV,13,Finished Airing,7/5/2009,9/27/2009,Summer,Shaft,Manga,"Parody,Comedy,School",R,7.97,27166,66220,179
Byousoku 5 Centimeter,Movie,3,Finished Airing,3/3/2007,-,-,CoMix Wave Films,Original,"Drama,Romance,Slice of Life",PG-13,7.96,277431,451510,7793
Detective Conan Movie 07: Crossroad in the Ancient Capital,Movie,1,Finished Airing,4/19/2003,-,-,TMS Entertainment,Manga,"Adventure,Mystery,Comedy,Police,Shounen",PG-13,7.96,16811,27838,25
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,OVA,7,Finished Airing,7/23/1992,1/25/1998,-,A-1 Pictures,Manga,"Action,Sci-Fi,Super Power,Drama,Mecha,Shounen",PG-13,7.96,4393,15300,296
Ginga Tetsudou 999,TV,113,Finished Airing,9/14/1978,4/9/1981,Fall,Toei Animation,Manga,"Sci-Fi,Adventure,Space,Drama",G,7.96,2980,16781,254
Hakuouki Movie 2: Shikon Soukyuu,Movie,1,Finished Airing,3/8/2014,-,-,Studio Deen,Visual novel,"Action,Historical,Supernatural,Drama,Samurai,Josei",PG-13,7.96,3635,12942,54
Hanasaku Iroha: Home Sweet Home,Movie,1,Finished Airing,3/9/2013,-,-,P.A. Works,Light novel,"Slice of Life,Comedy,Drama",PG-13,7.96,20416,46772,50
Hidamari Sketch x,TV,12,Finished Airing,1/8/2010,3/26/2010,Winter,Shaft,4-koma manga,"Slice of Life,Comedy,School,Seinen",PG-13,7.96,8873,18247,129
Higashi no Eden,TV,11,Finished Airing,4/10/2009,6/19/2009,Spring,Production I.G,Original,"Action,Sci-Fi,Mystery,Comedy,Drama,Romance,Thriller",R,7.96,172688,342974,3722
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),Movie,1,Finished Airing,12/29/2007,-,-,ufotable,Light novel,"Action,Mystery,Supernatural,Romance,Thriller",R,7.96,88383,140556,325
Little Witch Academia,Movie,1,Finished Airing,3/2/2013,-,-,Trigger,Light novel,"Adventure,Comedy,Fantasy,Magic,School",PG-13,7.96,109468,182510,1011
Lupin III (2015),TV,24,Finished Airing,10/2/2015,3/18/2016,Fall,"TMS Entertainment,Telecom Animation Film",Original,"Action,Adventure,Mystery,Comedy,Seinen",PG-13,7.96,7459,28066,164
Magic Kaito 1412,TV,24,Finished Airing,10/4/2014,3/28/2015,Fall,A-1 Pictures,Manga,"Adventure,Comedy,Romance,Shounen",PG-13,7.96,25249,60261,595
