Title,Type,Episodes,Status,Start airing,End airing,Starting season,Studios,Sources,Genres,Rating,Score,Scored by,Members,Favorites
Shin Tennis no Ouji-sama,TV,13,Finished Airing,1/5/2012,3/29/2012,Winter,"Production I.G,M.S.C",Manga,"Action,Comedy,Sports,Shounen",PG-13,7.64,19209,37033,199
Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi,Movie,1,Finished Airing,8/20/1994,-,-,Toei Animation,Manga,"Slice of Life,Comedy,Sports,Drama,School,Shounen",PG-13,7.64,4920,9293,19
The iDOLM@STER Movie: Kagayaki no Mukougawa e!,Movie,1,Finished Airing,1/25/2014,-,-,A-1 Pictures,Game,"Music,Comedy,Drama",PG-13,7.64,7434,15625,47
Tsubasa Chronicle,TV,26,Finished Airing,4/9/2005,10/15/2005,Spring,Bee Train,Manga,"Action,Adventure,Fantasy,Magic,Romance,Supernatural,Shounen",PG-13,7.64,69771,158068,2031
Aa! Megami-sama! Movie,Movie,1,Finished Airing,10/21/2000,-,-,AIC,Original,"Comedy,Magic,Romance,Seinen,Supernatural",PG-13,7.63,18525,32576,95
Amagi Brilliant Park,TV,13,Finished Airing,10/7/2014,12/26/2014,Fall,Kyoto Animation,Light novel,"Comedy,Magic,Fantasy",PG-13,7.63,172096,308748,1509
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,Movie,1,Finished Airing,12/23/1995,-,-,"Toei Animation,Production Reed",Manga,"Drama,Magic,Shoujo",PG-13,7.63,15596,27921,54
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,Movie,1,Finished Airing,12/13/2008,-,-,Studio Pierrot,Manga,"Action,Comedy,Super Power,Supernatural,Shounen",PG-13,7.63,89613,143380,574
Darker than Black: Kuro no Keiyakusha Special,Special,1,Finished Airing,3/27/2008,-,-,Bones,Original,"Sci-Fi,Comedy,Parody",R,7.63,60394,100878,181
Fairy Tail Movie 1: Houou no Miko,Movie,1,Finished Airing,8/18/2012,-,-,"Satelight,A-1 Pictures",Manga,"Action,Adventure,Fantasy,Magic,Comedy,Shounen",PG-13,7.63,62239,106382,378
Hanbun no Tsuki ga Noboru Sora,TV,6,Finished Airing,1/13/2006,2/24/2006,Winter,Group TAC,Light novel,"Comedy,Drama,Romance",PG-13,7.63,38529,74657,439
Heroic Age,TV,26,Finished Airing,4/2/2007,10/1/2007,Spring,Xebec,Original,"Action,Mecha,Military,Sci-Fi,Space",PG-13,7.63,33472,76897,599
Hetalia: The World Twinkle Extra Disc,OVA,1,Finished Airing,2/24/2016,-,-,Studio Deen,Manga,"Comedy,Historical,Parody",PG-13,7.63,1332,3926,13
